rate_type,currency,date,value
Closing rate,PHP,2019-12-31,51.45
Closing rate,IDR,2019-12-31,14500.0
Average rate,PHP,2019-12-31,51.45
Average rate,IDR,2019-12-31,14500.0
Closing rate,PHP,2020-01-31,50.92
Closing rate,IDR,2020-01-31,13645.0
Average rate,PHP,2020-01-31,50.92
Average rate,IDR,2020-01-31,13645.0
Closing rate,PHP,2020-02-29,50.9
Closing rate,IDR,2020-02-29,14348.0
Average rate,PHP,2020-02-29,50.9
Average rate,IDR,2020-02-29,14348.0
Closing rate,PHP,2020-03-31,50.71
Closing rate,IDR,2020-03-31,16310.0
Average rate,PHP,2020-03-31,50.71
Average rate,IDR,2020-03-31,16310.0
Closing rate,PHP,2020-04-30,50.56
Closing rate,IDR,2020-04-30,14875.0
Average rate,PHP,2020-04-30,50.56
Average rate,IDR,2020-04-30,14875.0
Closing rate,PHP,2020-05-31,50.47
Closing rate,IDR,2020-05-31,14610.0
Average rate,PHP,2020-05-31,50.47
Average rate,IDR,2020-05-31,14610.0
Closing rate,PHP,2020-06-30,49.82
Closing rate,IDR,2020-06-30,14341.0
Average rate,PHP,2020-06-30,49.82
Average rate,IDR,2020-06-30,14341.0
Closing rate,PHP,2020-07-31,49.1
Closing rate,IDR,2020-07-31,14499.0
Average rate,PHP,2020-07-31,49.1
Average rate,IDR,2020-07-31,14499.0
Closing rate,PHP,2020-08-31,48.39
Closing rate,IDR,2020-08-31,14563.0
Average rate,PHP,2020-08-31,48.39
Average rate,IDR,2020-08-31,14563.0
Closing rate,PHP,2020-09-30,48.44
Closing rate,IDR,2020-09-30,14840.0
Average rate,PHP,2020-09-30,48.44
Average rate,IDR,2020-09-30,14840.0
Closing rate,PHP,2020-10-31,48.4
Closing rate,IDR,2020-10-31,14620.0
Average rate,PHP,2020-10-31,48.4
Average rate,IDR,2020-10-31,14620.0
Closing rate,PHP,2020-11-30,48.4
Closing rate,IDR,2020-11-30,14200.0
Average rate,PHP,2020-11-30,48.4
Average rate,IDR,2020-11-30,14200.0
Closing rate,SGD,2020-12-31,1.32169
Closing rate,PHP,2020-12-31,47.9874
Closing rate,IDR,2020-12-31,13915.5
Closing rate,EUR,2020-12-31,0.81529
Average rate,SGD,2020-12-31,1.3321
Average rate,PHP,2020-12-31,48.0477
Average rate,IDR,2020-12-31,14123.9
Average rate,EUR,2020-12-31,0.8217
Closing rate,SGD,2021-01-31,1.32791
Closing rate,PHP,2021-01-31,48.0455
Closing rate,IDR,2021-01-31,14028.55
Closing rate,EUR,2021-01-31,0.82385
Average rate,SGD,2021-01-31,1.32576
Average rate,PHP,2021-01-31,48.0359
Average rate,IDR,2021-01-31,14056.13
Average rate,EUR,2021-01-31,0.82149
Closing rate,SGD,2021-02-28,1.331631
Closing rate,PHP,2021-02-28,48.706288
Closing rate,IDR,2021-02-28,14320.95
Closing rate,EUR,2021-02-28,0.828117
Average rate,SGD,2021-02-28,1.327614
Average rate,PHP,2021-02-28,48.256426
Average rate,IDR,2021-02-28,14056.31
Average rate,EUR,2021-02-28,0.826735
Closing rate,SGD,2021-03-31,1.345326
Closing rate,PHP,2021-03-31,48.507749
Closing rate,IDR,2021-03-31,14560.0
Closing rate,EUR,2021-03-31,0.85263
Average rate,SGD,2021-03-31,1.342426
Average rate,PHP,2021-03-31,48.515073
Average rate,IDR,2021-03-31,14386.9
Average rate,EUR,2021-03-31,0.840278
Closing rate,SGD,2021-04-30,1.328261
Closing rate,PHP,2021-04-30,48.187481
Closing rate,IDR,2021-04-30,14427.77
Closing rate,EUR,2021-04-30,0.828221
Average rate,SGD,2021-04-30,1.335053
Average rate,PHP,2021-04-30,48.421685
Average rate,IDR,2021-04-30,14535.47
Average rate,EUR,2021-04-30,0.836472
Closing rate,SGD,2021-05-31,1.321928
Closing rate,PHP,2021-05-31,47.648494
Closing rate,IDR,2021-05-31,14259.59
Closing rate,EUR,2021-05-31,0.819087
Average rate,SGD,2021-05-31,1.329036
Average rate,PHP,2021-05-31,47.893749
Average rate,IDR,2021-05-31,14305.42
Average rate,EUR,2021-05-31,0.823402
Closing rate,SGD,2021-06-30,1.344591
Closing rate,PHP,2021-06-30,48.770951
Closing rate,IDR,2021-06-30,14534.62
Closing rate,EUR,2021-06-30,0.841799
Average rate,SGD,2021-06-30,1.333354
Average rate,PHP,2021-06-30,48.137634
Average rate,IDR,2021-06-30,14349.05
Average rate,EUR,2021-06-30,0.8305
Closing rate,SGD,2021-07-31,1.35349
Closing rate,PHP,2021-07-31,49.9875
Closing rate,IDR,2021-07-31,14421.85
Closing rate,EUR,2021-07-31,0.842566
Average rate,SGD,2021-07-31,1.354338
Average rate,PHP,2021-07-31,50.020772
Average rate,IDR,2021-07-31,14490.54
Average rate,EUR,2021-07-31,0.845496
Closing rate,SGD,2021-08-31,1.344062
Closing rate,PHP,2021-08-31,49.657238
Closing rate,IDR,2021-08-31,14254.76
Closing rate,EUR,2021-08-31,0.846248
Average rate,SGD,2021-08-31,1.354528
Average rate,PHP,2021-08-31,50.166761
Average rate,IDR,2021-08-31,14376.95
Average rate,EUR,2021-08-31,0.849494
Closing rate,SGD,2021-09-30,1.359614
Closing rate,PHP,2021-09-30,50.967406
Closing rate,IDR,2021-09-30,14310.96
Closing rate,EUR,2021-09-30,0.862788
Average rate,SGD,2021-09-30,1.347109
Average rate,PHP,2021-09-30,50.171279
Average rate,IDR,2021-09-30,14255.94
Average rate,EUR,2021-09-30,0.849248
Closing rate,SGD,2021-10-31,1.347986
Closing rate,PHP,2021-10-31,50.465857
Closing rate,IDR,2021-10-31,14227.11
Closing rate,EUR,2021-10-31,0.864825
Average rate,SGD,2021-10-31,1.350803
Average rate,PHP,2021-10-31,50.677705
Average rate,IDR,2021-10-31,14186.08
Average rate,EUR,2021-10-31,0.862077
Closing rate,SGD,2021-11-30,1.367065
Closing rate,PHP,2021-11-30,50.324549
Closing rate,IDR,2021-11-30,14319.92
Closing rate,EUR,2021-11-30,0.882883
Average rate,SGD,2021-11-30,1.357178
Average rate,PHP,2021-11-30,50.293716
Average rate,IDR,2021-11-30,14279.95
Average rate,EUR,2021-11-30,0.876516
Closing rate,SGD,2021-12-31,1.349316
Closing rate,PHP,2021-12-31,51.042431
Closing rate,IDR,2021-12-31,14229.75
Closing rate,EUR,2021-12-31,0.881509
Average rate,SGD,2021-12-31,1.363377
Average rate,PHP,2021-12-31,50.252925
Average rate,IDR,2021-12-31,14324.98
Average rate,EUR,2021-12-31,0.884723
Closing rate,SGD,2022-01-31,1.353511
Closing rate,PHP,2022-01-31,51.103789
Closing rate,IDR,2022-01-31,14360.04
Closing rate,EUR,2022-01-31,0.893803
Average rate,SGD,2022-01-31,1.350299
Average rate,PHP,2022-01-31,51.197348
Average rate,IDR,2022-01-31,14323.6
Average rate,EUR,2022-01-31,0.883066
Closing rate,SGD,2022-02-28,1.357426
Closing rate,PHP,2022-02-28,51.284526
Closing rate,IDR,2022-02-28,14371.87
Closing rate,EUR,2022-02-28,0.893377
Average rate,SGD,2022-02-28,1.346873
Average rate,PHP,2022-02-28,51.253531
Average rate,IDR,2022-02-28,14349.22
Average rate,EUR,2022-02-28,0.881571
Closing rate,SGD,2022-03-31,1.35384
Closing rate,PHP,2022-03-31,51.808927
Closing rate,IDR,2022-03-31,14345.27
Closing rate,EUR,2022-03-31,0.899629
Average rate,SGD,2022-03-31,1.35869
Average rate,PHP,2022-03-31,52.106197
Average rate,IDR,2022-03-31,14340.51
Average rate,EUR,2022-03-31,0.908466
Closing rate,SGD,2022-04-30,1.38291
Closing rate,PHP,2022-04-30,52.335
Closing rate,IDR,2022-04-30,14496.05
Closing rate,EUR,2022-04-30,0.94784
Average rate,SGD,2022-04-30,1.365061
Average rate,PHP,2022-04-30,51.99909
Average rate,IDR,2022-04-30,14385.13
Average rate,EUR,2022-04-30,0.923858
Closing rate,SGD,2022-05-31,1.369992
Closing rate,PHP,2022-05-31,52.44551
Closing rate,IDR,2022-05-31,14547.06
Closing rate,EUR,2022-05-31,0.931647
Average rate,SGD,2022-05-31,1.381878
Average rate,PHP,2022-05-31,52.340969
Average rate,IDR,2022-05-31,14572.67
Average rate,EUR,2022-05-31,0.945938
Closing rate,SGD,2022-06-30,1.39107
Closing rate,PHP,2022-06-30,54.954887
Closing rate,IDR,2022-06-30,14906.75
Closing rate,EUR,2022-06-30,0.956834
Average rate,SGD,2022-06-30,1.384094
Average rate,PHP,2022-06-30,53.636978
Average rate,IDR,2022-06-30,14685.95
Average rate,EUR,2022-06-30,0.945958
Closing rate,SGD,2022-07-31,1.380146
Closing rate,PHP,2022-07-31,55.336443
Closing rate,IDR,2022-07-31,14807.33
Closing rate,EUR,2022-07-31,0.977854
Average rate,SGD,2022-07-31,1.39415
Average rate,PHP,2022-07-31,55.832619
Average rate,IDR,2022-07-31,14964.21
Average rate,EUR,2022-07-31,0.980501
Closing rate,SGD,2022-08-31,1.396787
Closing rate,PHP,2022-08-31,56.174457
Closing rate,IDR,2022-08-31,14843.98
Closing rate,EUR,2022-08-31,0.997066
Average rate,SGD,2022-08-31,1.384066
Average rate,PHP,2022-08-31,55.78044
Average rate,IDR,2022-08-31,14824.46
Average rate,EUR,2022-08-31,0.987875
Closing rate,SGD,2022-09-30,1.43409
Closing rate,PHP,2022-09-30,58.678842
Closing rate,IDR,2022-09-30,15250.98
Closing rate,EUR,2022-09-30,1.02047
Average rate,SGD,2022-09-30,1.412296
Average rate,PHP,2022-09-30,57.551176
Average rate,IDR,2022-09-30,14973.58
Average rate,EUR,2022-09-30,1.009147
Closing rate,SGD,2022-10-31,1.414275
Closing rate,PHP,2022-10-31,58.11535
Closing rate,IDR,2022-10-31,15605.27
Closing rate,EUR,2022-10-31,1.008234
Average rate,SGD,2022-10-31,1.423872
Average rate,PHP,2022-10-31,58.702601
Average rate,IDR,2022-10-31,15422.5
Average rate,EUR,2022-10-31,1.01703
Closing rate,SGD,2022-11-30,1.367914
Closing rate,PHP,2022-11-30,56.485611
Closing rate,IDR,2022-11-30,15692.38
Closing rate,EUR,2022-11-30,0.964975
Average rate,SGD,2022-11-30,1.38516
Average rate,PHP,2022-11-30,57.412246
Average rate,IDR,2022-11-30,15634.55
Average rate,EUR,2022-11-30,0.979185
Closing rate,SGD,2022-12-31,1.34028
Closing rate,PHP,2022-12-31,55.7325
Closing rate,IDR,2022-12-31,15520.0
Closing rate,EUR,2022-12-31,0.933838
Average rate,SGD,2022-12-31,1.351594
Average rate,PHP,2022-12-31,55.487905
Average rate,IDR,2022-12-31,15564.95
Average rate,EUR,2022-12-31,0.944539
Closing rate,SGD,2023-01-31,1.31479
Closing rate,PHP,2023-01-31,54.630662
Closing rate,IDR,2023-01-31,15008.22
Closing rate,EUR,2023-01-31,0.921702
Average rate,SGD,2023-01-31,1.324929
Average rate,PHP,2023-01-31,54.87262
Average rate,IDR,2023-01-31,15235.41
Average rate,EUR,2023-01-31,0.927658
Closing rate,SGD,2023-02-28,1.347886
Closing rate,PHP,2023-02-28,55.315326
Closing rate,IDR,2023-02-28,15243.95
Closing rate,EUR,2023-02-28,0.94333
Average rate,SGD,2023-02-28,1.332303
Average rate,PHP,2023-02-28,54.821798
Average rate,IDR,2023-02-28,15144.57
Average rate,EUR,2023-02-28,0.934437
Closing rate,SGD,2023-03-31,1.329127
Closing rate,PHP,2023-03-31,54.282632
Closing rate,IDR,2023-03-31,14965.04
Closing rate,EUR,2023-03-31,0.919231
Average rate,SGD,2023-03-31,1.340744
Average rate,PHP,2023-03-31,54.679857
Average rate,IDR,2023-03-31,15283.18
Average rate,EUR,2023-03-31,0.934488
Closing rate,SGD,2023-04-30,1.333857
Closing rate,PHP,2023-04-30,55.368542
Closing rate,IDR,2023-04-30,14663.54
Closing rate,EUR,2023-04-30,0.907589
Average rate,SGD,2023-04-30,1.331696
Average rate,PHP,2023-04-30,55.208247
Average rate,IDR,2023-04-30,14864.42
Average rate,EUR,2023-04-30,0.912546
Closing rate,SGD,2023-05-31,1.353575
Closing rate,PHP,2023-05-31,56.260265
Closing rate,IDR,2023-05-31,14991.79
Closing rate,EUR,2023-05-31,0.935892
Average rate,SGD,2023-05-31,1.33956
Average rate,PHP,2023-05-31,55.72587
Average rate,IDR,2023-05-31,14828.38
Average rate,EUR,2023-05-31,0.92038
Closing rate,SGD,2023-06-30,1.35429
Closing rate,PHP,2023-06-30,55.285
Closing rate,IDR,2023-06-30,15044.0
Closing rate,EUR,2023-06-30,0.918585
Average rate,SGD,2023-06-30,1.34597
Average rate,PHP,2023-06-30,55.7949
Average rate,IDR,2023-06-30,14933.3
Average rate,EUR,2023-06-30,0.922862
Closing rate,SGD,2023-07-31,1.32986
Closing rate,PHP,2023-07-31,54.8004
Closing rate,IDR,2023-07-31,15084.7
Closing rate,EUR,2023-07-31,0.907769
Average rate,SGD,2023-07-31,1.33474
Average rate,PHP,2023-07-31,54.8897
Average rate,IDR,2023-07-31,15046.7
Average rate,EUR,2023-07-31,0.904569
Closing rate,SGD,2023-08-31,1.3508
Closing rate,PHP,2023-08-31,56.6218
Closing rate,IDR,2023-08-31,15218.4
Closing rate,EUR,2023-08-31,0.919334
Average rate,SGD,2023-08-31,1.35027
Average rate,PHP,2023-08-31,56.2461
Average rate,IDR,2023-08-31,15249.3
Average rate,EUR,2023-08-31,0.916536
Closing rate,SGD,2023-09-30,1.36606
Closing rate,PHP,2023-09-30,56.6075
Closing rate,IDR,2023-09-30,15480.6
Closing rate,EUR,2023-09-30,0.945537
Average rate,SGD,2023-09-30,1.3626
Average rate,PHP,2023-09-30,56.7228
Average rate,IDR,2023-09-30,15358.5
Average rate,EUR,2023-09-30,0.936208
Closing rate,SGD,2023-10-31,1.36754
Closing rate,PHP,2023-10-31,56.7842
Closing rate,IDR,2023-10-31,15871.5
Closing rate,EUR,2023-10-31,0.943071
Average rate,SGD,2023-10-31,1.36857
Average rate,PHP,2023-10-31,56.7468
Average rate,IDR,2023-10-31,15747.1
Average rate,EUR,2023-10-31,0.946596
Closing rate,SGD,2023-11-30,1.33506
Closing rate,PHP,2023-11-30,55.4459
Closing rate,IDR,2023-11-30,15501.8
Closing rate,EUR,2023-11-30,0.914904
Average rate,SGD,2023-11-30,1.34849
Average rate,PHP,2023-11-30,56.6127
Average rate,IDR,2023-11-30,15560.9
Average rate,EUR,2023-11-30,0.924971
Closing rate,SGD,2023-12-31,1.31917
Closing rate,PHP,2023-12-31,55.17
Closing rate,IDR,2023-12-31,15382.0
Closing rate,EUR,2023-12-31,0.905953
Average rate,SGD,2023-12-31,1.33118
Average rate,PHP,2023-12-31,55.4046
Average rate,IDR,2023-12-31,15463.0
Average rate,EUR,2023-12-31,0.916043
Closing rate,SGD,2024-01-31,1.33946
Closing rate,PHP,2024-01-31,56.2513
Closing rate,IDR,2024-01-31,15762.5
Closing rate,EUR,2024-01-31,0.92312
Average rate,SGD,2024-01-31,1.33512
Average rate,PHP,2024-01-31,55.926
Average rate,IDR,2024-01-31,15604.8
Average rate,EUR,2024-01-31,0.916424
Closing rate,SGD,2024-02-29,1.34499
Closing rate,PHP,2024-02-29,56.1451
Closing rate,IDR,2024-02-29,15707.1
Closing rate,EUR,2024-02-29,0.923552
Average rate,SGD,2024-02-29,1.34446
Average rate,PHP,2024-02-29,55.9978
Average rate,IDR,2024-02-29,15646.3
Average rate,EUR,2024-02-29,0.926525
Closing rate,SGD,2024-03-31,1.3481
Closing rate,PHP,2024-03-31,56.13
Closing rate,IDR,2024-03-31,15872.0
Closing rate,EUR,2024-03-31,0.926381
Closing rate,HKD,2024-03-31,7.82418
Average rate,SGD,2024-03-31,1.3407
Average rate,PHP,2024-03-31,55.8503
Average rate,IDR,2024-03-31,15695.8
Average rate,EUR,2024-03-31,0.920125
Average rate,HKD,2024-03-31,7.82261
Closing rate,SGD,2024-04-30,1.36258
Closing rate,PHP,2024-04-30,57.6766
Closing rate,IDR,2024-04-30,16250.4
Closing rate,EUR,2024-04-30,0.934763
Closing rate,HKD,2024-04-30,7.82272
Average rate,SGD,2024-04-30,1.357
Average rate,PHP,2024-04-30,56.9643
Average rate,IDR,2024-04-30,16084.9
Average rate,EUR,2024-04-30,0.932631
Average rate,HKD,2024-04-30,7.83071
Closing rate,SGD,2024-05-31,1.3511
Closing rate,PHP,2024-05-31,58.4934
Closing rate,IDR,2024-05-31,16244.1
Closing rate,EUR,2024-05-31,0.922378
Closing rate,HKD,2024-05-31,7.81797
Average rate,SGD,2024-05-31,1.35081
Average rate,PHP,2024-05-31,57.7229
Average rate,IDR,2024-05-31,16048.2
Average rate,EUR,2024-05-31,0.925126
Average rate,HKD,2024-05-31,7.81093
Closing rate,SGD,2024-06-30,1.35568
Closing rate,PHP,2024-06-30,58.3281
Closing rate,IDR,2024-06-30,16344.2
Closing rate,EUR,2024-06-30,0.933039
Closing rate,HKD,2024-06-30,7.80763
Average rate,SGD,2024-06-30,1.35229
Average rate,PHP,2024-06-30,58.6386
Average rate,IDR,2024-06-30,16347.7
Average rate,EUR,2024-06-30,0.929295
Average rate,HKD,2024-06-30,7.8099
Closing rate,SGD,2024-07-31,1.33882
Closing rate,PHP,2024-07-31,58.3642
Closing rate,IDR,2024-07-31,16269.0
Closing rate,EUR,2024-07-31,0.923755
Closing rate,HKD,2024-07-31,7.81212
Average rate,SGD,2024-07-31,1.34547
Average rate,PHP,2024-07-31,58.4333
Average rate,IDR,2024-07-31,16221.8
Average rate,EUR,2024-07-31,0.921249
Average rate,HKD,2024-07-31,7.80908
Closing rate,SGD,2024-08-31,1.30642
Closing rate,PHP,2024-08-31,56.212
Closing rate,IDR,2024-08-31,15517.2
Closing rate,EUR,2024-08-31,0.905117
Closing rate,HKD,2024-08-31,7.79681
Average rate,SGD,2024-08-31,1.31552
Average rate,PHP,2024-08-31,56.8828
Average rate,IDR,2024-08-31,15739.5
Average rate,EUR,2024-08-31,0.907705
Average rate,HKD,2024-08-31,7.79615
Closing rate,SGD,2024-09-30,1.28191
Closing rate,PHP,2024-09-30,56.0308
Closing rate,IDR,2024-09-30,15147.3
Closing rate,EUR,2024-09-30,0.895916
Closing rate,HKD,2024-09-30,7.76999
Average rate,SGD,2024-09-30,1.29564
Average rate,PHP,2024-09-30,55.9719
Average rate,IDR,2024-09-30,15308.2
Average rate,EUR,2024-09-30,0.90042
Average rate,HKD,2024-09-30,7.79083
Closing rate,SGD,2024-10-31,1.32165
Closing rate,PHP,2024-10-31,58.2192
Closing rate,IDR,2024-10-31,15697.5
Closing rate,EUR,2024-10-31,0.920427
Closing rate,HKD,2024-10-31,7.77289
Average rate,SGD,2024-10-31,1.30997
Average rate,PHP,2024-10-31,57.4145
Average rate,IDR,2024-10-31,15574.2
Average rate,EUR,2024-10-31,0.917448
Average rate,HKD,2024-10-31,7.76972
Closing rate,SGD,2024-11-30,1.33739
Closing rate,PHP,2024-11-30,58.5215
Closing rate,IDR,2024-11-30,15817.2
Closing rate,EUR,2024-11-30,0.945215
Closing rate,HKD,2024-11-30,7.78174
Average rate,SGD,2024-11-30,1.33584
Average rate,PHP,2024-11-30,58.6196
Average rate,IDR,2024-11-30,15811.5
Average rate,EUR,2024-11-30,0.941077
Average rate,HKD,2024-11-30,7.77962
Closing rate,SGD,2024-12-31,1.36249
Closing rate,PHP,2024-12-31,57.9867
Closing rate,IDR,2024-12-31,16175.3
Closing rate,EUR,2024-12-31,0.962646
Closing rate,HKD,2024-12-31,7.76553
Average rate,SGD,2024-12-31,1.35008
Average rate,PHP,2024-12-31,58.3136
Average rate,IDR,2024-12-31,16027.7
Average rate,EUR,2024-12-31,0.954468
Average rate,HKD,2024-12-31,7.77316
Closing rate,SGD,2025-01-31,1.35588
Closing rate,PHP,2025-01-31,58.3836
Closing rate,IDR,2025-01-31,16303.3
Closing rate,EUR,2025-01-31,0.962967
Closing rate,HKD,2025-01-31,7.79209
Average rate,SGD,2025-01-31,1.36183
Average rate,PHP,2025-01-31,58.3229
Average rate,IDR,2025-01-31,16239.4
Average rate,EUR,2025-01-31,0.966252
Average rate,HKD,2025-01-31,7.78408
Closing rate,SGD,2025-02-28,1.34924
Closing rate,PHP,2025-02-28,57.9553
Closing rate,IDR,2025-02-28,16546.2
Closing rate,EUR,2025-02-28,0.962234
Closing rate,HKD,2025-02-28,7.77748
Average rate,SGD,2025-02-28,1.34685
Average rate,PHP,2025-02-28,57.9777
Average rate,IDR,2025-02-28,16313.5
Average rate,EUR,2025-02-28,0.960364
Average rate,HKD,2025-02-28,7.78323
Closing rate,SGD,2025-03-31,1.34216
Closing rate,PHP,2025-03-31,57.2407
Closing rate,IDR,2025-03-31,16617.1
Closing rate,EUR,2025-03-31,0.924045
Closing rate,HKD,2025-03-31,7.77904
Average rate,SGD,2025-03-31,1.33642
Average rate,PHP,2025-03-31,57.3714
Average rate,IDR,2025-03-31,16451.4
Average rate,EUR,2025-03-31,0.927065
Average rate,HKD,2025-03-31,7.77307
